Eoben in lx,Eunten in lx,Achse1 in Grad,Achse2 in Grad
4001.666666666667,15.833333333333334,0.0,0.0
4315.833333333334,16.666666666666668,0.0,18.0
4302.5,17.5,0.0,38.699999999999996
3403.3333333333335,17.5,0.0,54.0
2226.666666666667,18.333333333333336,0.0,72.0
870.8333333333334,20.833333333333336,0.0,90.0
120.0,31.666666666666668,0.0,108.0
9.166666666666668,505.0,0.0,126.0
11.666666666666668,1735.0,0.0,144.0
15.0,3017.5,0.0,162.0
18.333333333333336,4289.166666666667,0.0,180.0
19.166666666666668,4396.666666666667,18.0,0.0
3992.5,15.833333333333334,18.0,18.0
3882.5,17.5,18.0,38.699999999999996
3138.3333333333335,17.5,18.0,54.0
1870.8333333333335,15.0,18.0,72.0
834.1666666666667,11.666666666666668,18.0,90.0
112.5,24.166666666666668,18.0,108.0
20.0,565.0,18.0,126.0
15.0,1555.8333333333335,18.0,144.0
16.666666666666668,2918.3333333333335,18.0,162.0
18.333333333333336,3863.3333333333335,18.0,180.0
53.333333333333336,3836.666666666667,36.0,0.0
2775.8333333333335,231.66666666666669,36.0,18.0
2583.3333333333335,230.0,36.0,38.699999999999996
1941.6666666666667,166.66666666666669,36.0,54.0
1260.0,85.0,36.0,72.0
460.0,20.0,36.0,90.0
95.0,20.833333333333336,36.0,108.0
110.0,355.83333333333337,36.0,126.0
167.5,1050.0,36.0,144.0
222.5,2015.8333333333335,36.0,162.0
249.16666666666669,2600.8333333333335,36.0,180.0
393.33333333333337,2225.0,54.0,0.0
1695.0,529.1666666666667,54.0,18.0
1623.3333333333335,470.83333333333337,54.0,38.699999999999996
1296.6666666666667,347.5,54.0,54.0
754.1666666666667,187.5,54.0,72.0
322.5,60.833333333333336,54.0,90.0
61.66666666666667,17.5,54.0,108.0
185.83333333333334,263.33333333333337,54.0,126.0
320.83333333333337,702.5,54.0,144.0
455.83333333333337,1301.6666666666667,54.0,162.0
515.8333333333334,1679.1666666666667,54.0,180.0
668.3333333333334,1290.8333333333335,72.0,0.0
993.3333333333334,779.1666666666667,72.0,18.0
943.3333333333334,714.1666666666667,72.0,38.699999999999996
721.6666666666667,520.8333333333334,72.0,54.0
467.5,315.83333333333337,72.0,72.0
175.83333333333334,80.83333333333334,72.0,90.0
68.33333333333334,10.0,72.0,108.0
222.5,142.5,72.0,126.0
452.5,446.6666666666667,72.0,144.0
625.8333333333334,739.1666666666667,72.0,162.0
731.6666666666667,963.3333333333334,72.0,180.0
975.8333333333334,871.6666666666667,90.0,0.0
684.1666666666667,1275.0,90.0,18.0
644.1666666666667,1199.1666666666667,90.0,38.699999999999996
512.5,936.6666666666667,90.0,54.0
302.5,520.0,90.0,72.0
128.33333333333334,193.33333333333334,90.0,90.0
71.66666666666667,30.833333333333336,90.0,108.0
305.83333333333337,121.66666666666667,90.0,126.0
635.0,298.33333333333337,90.0,144.0
1007.5,525.0,90.0,162.0
1247.5,683.3333333333334,90.0,180.0
1671.6666666666667,579.1666666666667,108.0,0.0
436.6666666666667,2100.0,108.0,18.0
414.1666666666667,2001.6666666666667,108.0,38.699999999999996
333.33333333333337,1605.8333333333335,108.0,54.0
202.5,945.8333333333334,108.0,72.0
68.33333333333334,311.6666666666667,108.0,90.0
77.5,58.333333333333336,108.0,108.0
389.1666666666667,78.33333333333334,108.0,126.0
1046.6666666666667,219.16666666666669,108.0,144.0
1563.3333333333335,335.83333333333337,108.0,162.0
1993.3333333333335,435.83333333333337,108.0,180.0
2474.166666666667,341.6666666666667,126.0,0.0
202.5,3007.5,126.0,18.0
187.5,2888.3333333333335,126.0,38.699999999999996
140.83333333333334,2202.5,126.0,54.0
86.66666666666667,1421.6666666666667,126.0,72.0
29.166666666666668,504.1666666666667,126.0,90.0
65.0,68.33333333333334,126.0,108.0
592.5,42.5,126.0,126.0
1424.1666666666667,95.83333333333334,126.0,144.0
2170.0,148.33333333333334,126.0,162.0
2805.0,191.66666666666669,126.0,180.0
3270.0,121.66666666666667,144.0,0.0
35.833333333333336,3672.5,144.0,18.0
30.833333333333336,3556.666666666667,144.0,38.699999999999996
22.5,2775.0,144.0,54.0
15.833333333333334,1800.0,144.0,72.0
12.5,695.8333333333334,144.0,90.0
88.33333333333334,63.333333333333336,144.0,108.0
670.8333333333334,7.5,144.0,126.0
1808.3333333333335,17.5,144.0,144.0
2729.166666666667,26.666666666666668,144.0,162.0
3525.0,30.833333333333336,144.0,180.0
3967.5,20.833333333333336,162.0,0.0
19.166666666666668,4234.166666666667,162.0,18.0
17.5,4115.833333333334,162.0,38.699999999999996
15.833333333333334,3325.8333333333335,162.0,54.0
12.5,2012.5,162.0,72.0
9.166666666666668,883.3333333333334,162.0,90.0
115.0,102.5,162.0,108.0
747.5,10.0,162.0,126.0
1997.5,12.5,162.0,144.0
3094.166666666667,15.0,162.0,162.0
4050.8333333333335,16.666666666666668,162.0,180.0
4430.0,16.666666666666668,180.0,0.0
19.166666666666668,4620.833333333334,180.0,18.0
18.333333333333336,4445.833333333334,180.0,38.699999999999996
16.666666666666668,3425.0,180.0,54.0
14.166666666666668,2192.5,180.0,72.0
12.5,854.1666666666667,180.0,90.0
104.16666666666667,161.66666666666669,180.0,108.0
871.6666666666667,20.0,180.0,126.0
2000.0,18.333333333333336,180.0,144.0
3378.3333333333335,16.666666666666668,180.0,162.0
4224.166666666667,16.666666666666668,180.0,180.0
